th,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,y.position,groups,xmin,xmax
0.5,0.08886862645187338,f1,3D,2D,100,100,6781.5,1.35e-5,0.04995732079981155,0.1269906165896165,Wilcoxon,two.sided,1.35e-4,***,0.9110800000000001,,0.5,0.5
0.55,0.0944044120646855,f1,3D,2D,100,100,6720.5,2.64e-5,0.04986145541808691,0.13537713608748722,Wilcoxon,two.sided,2.376e-4,***,0.8920800000000001,,0.55,0.55
0.6,0.09343707283163279,f1,3D,2D,100,100,6667,4.66e-5,0.048878804946843345,0.137435523739966,Wilcoxon,two.sided,3.728e-4,***,0.8690800000000001,,0.6,0.6
0.65,0.09141320953978276,f1,3D,2D,100,100,6606,8.75e-5,0.04648949748166388,0.13989213270111178,Wilcoxon,two.sided,6.125e-4,***,0.84008,,0.65,0.65
0.7,0.09560462119712015,f1,3D,2D,100,100,6559,1.4e-4,0.04759381065398308,0.14454880139929685,Wilcoxon,two.sided,8.399999999999999e-4,***,0.8010800000000001,,0.7,0.7
0.75,0.0956884345466093,f1,3D,2D,100,100,6416,5.43e-4,0.041587259333997,0.14889624270006152,Wilcoxon,two.sided,0.002715,**,0.7440800000000001,,0.75,0.75
0.8,0.095238072391838,f1,3D,2D,100,100,6268,0.00195,0.03622022895245192,0.1546887908006715,Wilcoxon,two.sided,0.0078,**,0.6640800000000001,,0.8,0.8
0.85,0.08438630596969968,f1,3D,2D,100,100,6194,0.00354,0.029411346951091905,0.1427129030397607,Wilcoxon,two.sided,0.010620000000000001,*,0.54608,,0.85,0.85
0.9,0.054151715739859274,f1,3D,2D,100,100,6048.5,0.0104,0.012438389455325528,0.09888913292369192,Wilcoxon,two.sided,0.0208,*,0.38108,,0.9,0.9
0.95,2.49010908287605e-5,f1,3D,2D,100,100,5666.5,0.085,-3.1403158303130096e-5,0.00834028593647156,Wilcoxon,two.sided,0.085,ns,0.15408,,0.95,0.95
